Date,Open,High,Low,Close,Adj Close,Volume
7/2/1992,0.4375,0.4375,0.408482,0.412946,0.340932,256648000
7/6/1992,0.415179,0.417411,0.40625,0.412946,0.340932,122001600
7/7/1992,0.412946,0.412946,0.388393,0.395089,0.326189,207088000
7/8/1992,0.392857,0.408482,0.392857,0.408482,0.337247,195955200
7/9/1992,0.410714,0.415179,0.408482,0.409598,0.338168,165793600
7/10/1992,0.410714,0.412946,0.40067,0.408482,0.337247,143796800
7/13/1992,0.408482,0.420759,0.404018,0.419643,0.346461,125563200
7/14/1992,0.419643,0.428571,0.419643,0.424107,0.350147,125988800
7/15/1992,0.424107,0.4375,0.421875,0.428571,0.353832,174462400
7/16/1992,0.426339,0.4375,0.421875,0.435268,0.359361,139798400
7/17/1992,0.401786,0.410714,0.398438,0.401786,0.331718,423640000
7/20/1992,0.399554,0.404018,0.392857,0.399554,0.329876,192124800
7/21/1992,0.40625,0.412946,0.401786,0.408482,0.337247,131947200
7/22/1992,0.404018,0.40625,0.392857,0.395089,0.326189,161974400
7/23/1992,0.397321,0.399554,0.390625,0.399554,0.329876,171516800
7/24/1992,0.397321,0.412946,0.392857,0.409598,0.338168,134971200
7/27/1992,0.408482,0.415179,0.404018,0.404018,0.333561,2396800
7/28/1992,0.40625,0.415179,0.404018,0.415179,0.342776,134243200
7/29/1992,0.416295,0.426339,0.415179,0.421875,0.348304,250768000
7/30/1992,0.421875,0.424107,0.417411,0.421875,0.348304,137894400
7/31/1992,0.421875,0.424107,0.417411,0.417411,0.344618,90708800
8/3/1992,0.417411,0.421875,0.40625,0.408482,0.337247,68544000
8/4/1992,0.401786,0.408482,0.399554,0.40625,0.335404,119716800
8/5/1992,0.40625,0.40625,0.397321,0.399554,0.329876,139260800
8/6/1992,0.395089,0.397321,0.381696,0.392857,0.324347,257969600
8/7/1992,0.375,0.390625,0.370536,0.387277,0.31974,219161600
8/10/1992,0.386161,0.397321,0.383929,0.393973,0.325268,91448000
8/11/1992,0.397321,0.397321,0.383929,0.388393,0.320661,121307200
8/12/1992,0.390625,0.395089,0.386161,0.393973,0.325268,121385600
8/13/1992,0.397321,0.40625,0.395089,0.399554,0.329876,170990400
8/14/1992,0.401786,0.404018,0.397321,0.399554,0.329876,136102400
8/17/1992,0.395089,0.399554,0.390625,0.399554,0.330762,128710400
8/18/1992,0.397321,0.404018,0.397321,0.399554,0.330762,112313600
8/19/1992,0.398438,0.404018,0.397321,0.397321,0.328914,170542400
8/20/1992,0.399554,0.401786,0.395089,0.399554,0.330762,108908800
8/21/1992,0.399554,0.404018,0.392857,0.398438,0.329838,109468800
8/24/1992,0.395089,0.399554,0.386161,0.386161,0.319675,152174400
8/25/1992,0.386161,0.397321,0.386161,0.396205,0.32799,132361600
8/26/1992,0.395089,0.397321,0.386161,0.395089,0.327066,121060800
8/27/1992,0.399554,0.402902,0.395089,0.397321,0.328914,82745600
8/28/1992,0.395089,0.404018,0.392857,0.401786,0.33261,61241600
8/31/1992,0.401786,0.412946,0.399554,0.410714,0.340001,121116800
9/1/1992,0.412946,0.415179,0.408482,0.415179,0.343697,60289600
9/2/1992,0.415179,0.435268,0.415179,0.433036,0.35848,189896000
9/3/1992,0.4375,0.439732,0.426339,0.426339,0.352936,211859200
9/4/1992,0.430804,0.430804,0.417411,0.421875,0.34924,63235200
9/8/1992,0.417411,0.428571,0.415179,0.426339,0.352936,70000000
9/9/1992,0.428571,0.439732,0.426339,0.4375,0.362175,157203200
9/10/1992,0.428571,0.441964,0.424107,0.439732,0.364023,228177600
9/11/1992,0.4375,0.439732,0.424107,0.425223,0.352012,179883200
9/14/1992,0.4375,0.446429,0.433036,0.441964,0.36587,214681600
9/15/1992,0.439732,0.439732,0.426339,0.430804,0.356632,218523200
9/16/1992,0.426339,0.430804,0.415179,0.419643,0.347392,178718400
9/17/1992,0.421875,0.421875,0.405134,0.410714,0.340001,172435200
9/18/1992,0.408482,0.418527,0.404018,0.415179,0.343697,115606400
9/21/1992,0.417411,0.426339,0.412946,0.415179,0.343697,89678400
9/22/1992,0.417411,0.417411,0.404018,0.408482,0.338153,111540800
9/23/1992,0.410714,0.424107,0.40625,0.424107,0.351088,123972800
9/24/1992,0.421875,0.426339,0.412946,0.412946,0.341849,125652800
9/25/1992,0.412946,0.415179,0.404018,0.40625,0.336305,137468800
9/28/1992,0.401786,0.401786,0.390625,0.399554,0.330762,149520000
9/29/1992,0.397321,0.40625,0.392857,0.40067,0.331686,157270400
9/30/1992,0.401786,0.40625,0.397321,0.402902,0.333534,100049600
10/1/1992,0.399554,0.402902,0.395089,0.395089,0.327066,122729600
10/2/1992,0.397321,0.399554,0.383929,0.390625,0.323371,113545600
10/5/1992,0.386161,0.390625,0.370536,0.388393,0.321523,264958400
10/6/1992,0.390625,0.401786,0.381696,0.399554,0.330762,113444800
10/7/1992,0.401786,0.404018,0.388393,0.390625,0.323371,113310400
10/8/1992,0.392857,0.395089,0.383929,0.388393,0.321523,126974400
10/9/1992,0.388393,0.392857,0.383929,0.387277,0.320599,58744000
10/12/1992,0.386161,0.395089,0.386161,0.392857,0.325218,71635200
10/13/1992,0.399554,0.410714,0.392857,0.405134,0.335381,147179200
10/14/1992,0.404018,0.412946,0.401786,0.410714,0.340001,95726400
10/15/1992,0.408482,0.410714,0.404018,0.40625,0.336305,75420800
10/16/1992,0.417411,0.441964,0.415179,0.4375,0.362175,451348800
10/19/1992,0.4375,0.439732,0.433036,0.4375,0.362175,196044800
10/20/1992,0.4375,0.446429,0.433036,0.438616,0.363099,287246400
10/21/1992,0.439732,0.441964,0.428571,0.433036,0.35848,114251200
10/22/1992,0.433036,0.439732,0.430804,0.435268,0.360327,84470400
10/23/1992,0.439732,0.441964,0.430804,0.435268,0.360327,91425600
10/26/1992,0.435268,0.459821,0.433036,0.459821,0.380653,250689600
10/27/1992,0.459821,0.46875,0.455357,0.459821,0.380653,211960000
10/28/1992,0.457589,0.470982,0.453125,0.466518,0.386197,196593600
10/29/1992,0.466518,0.482143,0.459821,0.475446,0.393588,213897600
10/30/1992,0.477679,0.477679,0.464286,0.46875,0.388045,129830400
11/2/1992,0.46875,0.470982,0.462054,0.466518,0.386197,170094400
11/3/1992,0.46875,0.46875,0.459821,0.464286,0.384349,112750400
11/4/1992,0.464286,0.470982,0.464286,0.46875,0.388045,141960000
11/5/1992,0.46875,0.491071,0.46875,0.491071,0.406523,298054400
11/6/1992,0.488839,0.504464,0.488839,0.497768,0.412067,263972800
11/9/1992,0.5,0.5,0.488839,0.493304,0.408371,112929600
11/10/1992,0.491071,0.504464,0.488839,0.502232,0.415762,122225600
11/11/1992,0.504464,0.520089,0.502232,0.506696,0.419458,140425600
11/12/1992,0.508929,0.513393,0.503348,0.507813,0.420382,107598400
11/13/1992,0.508929,0.511161,0.5,0.502232,0.415762,84750400
11/16/1992,0.502232,0.515625,0.5,0.512277,0.424077,67547200
11/17/1992,0.511161,0.513393,0.489955,0.493304,0.408371,168806400
11/18/1992,0.5,0.520089,0.495536,0.515625,0.426849,304808000
